Number 1,Number 2,Sum
9397,-1046,8351
-3875,9823,5948
5456,-3887,1569
-7628,-6296,-13924
-3095,-9892,-12987
-3043,7605,4562
-1258,-6961,-8219
-2816,5157,2341
-2797,-2908,-5705
9041,-3598,5443
6339,-3708,2631
-2129,6840,4711
-9557,-2326,-11883
-5381,307,-5074
-1136,-1821,-2957
-3583,-5655,-9238
470,7320,7790
1198,1605,2803
2223,2329,4552
-8745,-7393,-16138
5537,-747,4790
9481,1433,10914
2262,8021,10283
-2575,-1588,-4163
9163,3629,12792
-2219,4306,2087
-7079,3102,-3977
4614,-6377,-1763
7576,-9584,-2008
7971,-3573,4398
5133,-748,4385
8412,-8670,-258
8515,-2121,6394
3476,4004,7480
-766,-5979,-6745
-6174,754,-5420
8646,-506,8140
-2158,-7445,-9603
-4882,6962,2080
-2823,-7186,-10009
8057,9231,17288
-8711,-7404,-16115
-7304,3125,-4179
-7856,-7631,-15487
1195,2153,3348
8695,2679,11374
-1436,3989,2553
2316,-9331,-7015
-9368,-303,-9671
-5166,3528,-1638
-7249,8116,867
-1808,8156,6348
-880,2011,1131
1659,-1995,-336
9414,-3397,6017
5177,-9775,-4598
4562,8513,13075
8529,-188,8341
6132,9476,15608
-8101,8271,170
1948,2879,4827
-6436,403,-6033
-3819,638,-3181
-7840,7387,-453
7951,1516,9467
8351,854,9205
8045,160,8205
-2883,-9410,-12293
-2007,5097,3090
8125,185,8310
8777,-4834,3943
-6829,2203,-4626
3622,307,3929
2910,6697,9607
7613,3866,11479
-9658,-6072,-15730
6164,-9302,-3138
1599,-5120,-3521
8579,-2472,6107
-3930,4054,124
-4539,-8501,-13040
-4789,9533,4744
-1200,3409,2209
5027,-7447,-2420
-8980,4679,-4301
-7966,-628,-8594
8540,3924,12464
-8338,9206,868
6863,6272,13135
4534,1066,5600
4505,-5208,-703
5574,-5129,445
-2859,-83,-2942
6936,-3673,3263
-5915,-1162,-7077
7838,-9776,-1938
-3694,26,-3668
1330,-9122,-7792
8479,9404,17883
6867,-6649,218
-1690,-5872,-7562
8105,3472,11577
-4689,-6934,-11623
9158,-5753,3405
2501,-5539,-3038
-5184,-5083,-10267
-5773,-7357,-13130
3884,-6845,-2961
-6484,1180,-5304
8005,-5829,2176
-5031,-2320,-7351
-1235,-3458,-4693
-7347,-984,-8331
1970,3351,5321
-7588,4951,-2637
8968,3341,12309
-2093,9666,7573
-593,-4703,-5296
1920,9662,11582
-7905,3783,-4122
6031,-7912,-1881
-9507,7419,-2088
4678,6687,11365
-4193,-6232,-10425
-9810,9585,-225
5533,-5441,92
-3874,-4156,-8030
1279,8748,10027
-9489,1714,-7775
2037,-5581,-3544
3426,1192,4618
-4740,522,-4218
-9035,6440,-2595
-4968,-5360,-10328
-6623,-3456,-10079
-3753,8204,4451
-191,-9074,-9265
1763,6715,8478
-9182,7335,-1847
-7909,8520,611
4208,-1671,2537
-1023,6917,5894
4005,3062,7067
6639,5554,12193
4511,8746,13257
-7906,-102,-8008
6503,-9536,-3033
-8477,2002,-6475
8213,3623,11836
-5376,-3771,-9147
9525,6624,16149
6978,7802,14780
-717,1251,534
1395,7317,8712
5185,-2889,2296
-6951,-7304,-14255
-7334,-2532,-9866
3680,7895,11575
1095,-8623,-7528
712,2292,3004
6123,-673,5450
-4863,4506,-357
-5931,982,-4949
55,1743,1798
-4576,492,-4084
9691,-1813,7878
1153,-5755,-4602
1445,-8084,-6639
-5732,3776,-1956
-6089,7769,1680
9614,-6204,3410
1193,6489,7682
7104,-6455,649
-6541,-9717,-16258
-6441,3761,-2680
-1374,-5623,-6997
-6478,-5186,-11664
2304,4245,6549
598,8027,8625
-404,192,-212
8934,616,9550
9312,-7852,1460
2618,-2373,245
5603,-3748,1855
9937,-3418,6519
7081,-5398,1683
5909,-8257,-2348
-5631,2568,-3063
3167,6817,9984
-7576,1044,-6532
-8470,-4340,-12810
-9614,-3585,-13199
-5707,-9551,-15258
-2597,9553,6956
9574,-7551,2023
7509,530,8039
-168,-5935,-6103
-7315,-5353,-12668
-5881,2309,-3572
7862,-422,7440
-650,-402,-1052
122,-6102,-5980
-798,-1881,-2679
3023,4594,7617
-7648,2419,-5229
7648,-7706,-58
5402,-3585,1817
-7218,7852,634
2022,-9350,-7328
5725,3972,9697
-110,4370,4260
-9967,-1122,-11089
-1376,2465,1089
6208,8553,14761
5597,9906,15503
-744,1569,825
5584,9015,14599
5506,-1321,4185
-4747,656,-4091
-8663,-9496,-18159
-48,5551,5503
-9595,-474,-10069
-5179,6511,1332
810,7996,8806
-8084,3032,-5052
8211,9674,17885
-9454,-1810,-11264
8284,6227,14511
-8007,4590,-3417
3759,423,4182
-3180,-5673,-8853
7090,-6125,965
244,-7438,-7194
8279,1193,9472
-2265,-1510,-3775
8885,9255,18140
4601,198,4799
-4799,-344,-5143
-8427,-2458,-10885
-4637,8793,4156
-4595,1657,-2938
-5923,-8019,-13942
-1005,-7474,-8479
-8268,1313,-6955
1279,3367,4646
-6413,3442,-2971
-5625,3179,-2446
-7348,-1693,-9041
-9604,-3410,-13014
5312,-2034,3278
74,-3528,-3454
8408,9346,17754
5022,261,5283
-6045,3448,-2597
-6423,4964,-1459
8664,6574,15238
-6245,-126,-6371
3518,9639,13157
915,-8945,-8030
1840,-3249,-1409
7661,6743,14404
-7698,3418,-4280
8650,5683,14333
3519,-1407,2112
4374,-8168,-3794
-926,-9902,-10828
9096,-9238,-142
3399,3698,7097
-2289,-3444,-5733
-5803,-8332,-14135
5695,7624,13319
1408,-6189,-4781
-843,4457,3614
2937,-4677,-1740
571,1575,2146
2146,-9276,-7130
514,4719,5233
4419,-7799,-3380
-3434,2096,-1338
-8090,-9516,-17606
1173,4486,5659
-5221,7382,2161
57,-1470,-1413
-4442,3115,-1327
1999,-8858,-6859
-4488,3247,-1241
726,-9869,-9143
8782,5035,13817
5742,-847,4895
-5630,7435,1805
4902,1156,6058
-4441,2951,-1490
2659,9555,12214
-7213,-4231,-11444
-8076,-6735,-14811
-2963,7450,4487
-3846,-2983,-6829
985,-5739,-4754
6766,4468,11234
1078,6327,7405
